Feature,Importance
signup_date,0.16443496225088355
seats_x,0.12116557988118191
avg_satisfaction,0.11440512842801674
total_tickets,0.09949461258194331
industry,0.06002445266975965
account_status,0.05981643477868698
seats_y,0.05559217692962741
country,0.04600198339969805
plan_type,0.03593880502678079
total_duration,0.03500423035761264
start_date,0.034767488944954954
total_usage,0.02956847736563507
mrr_amount,0.026916580648207632
arr_amount,0.02645596300388226
total_escalations,0.023287631284946545
total_errors,0.017734908115863486
is_trial_x,0.01661567864656465
plan_tier,0.007099548795204635
end_date,0.005884290113174769
billing_frequency,0.004989535103301889
auto_renew_flag,0.004398022602450179
upgrade_flag,0.0036206714033704466
churn_flag_y,0.002520488990216811
is_trial_y,0.002360739041371338
downgrade_flag,0.0019016096366642752
